Agent Name,Agent_ID,Agent Extension,Report Period,Calls Presented,Calls Handled,Calls Abandoned,Total Logged In Time,Average Logged In Time,Not Ready Time,Not Ready Time (%),Ready Time,Ready Time (%),Reserved Time,Reserved Time (%),Talk Time,Talk Time (%),Work Time,Work Time (%),Avg Handle Time,Max Handle Time,Avg Talk Time,Max Talk Time,Avg Hold Time,Max Hold Time,Avg Work Time,Max Work Time,Avg Idle Time,Max Idle Time,Handle Ratio,Total Inbound,Inbound ACD-Total,Inbound ACD-Avg Talk Time,Inbound ACD-Avg Hold Time,Inbound ACD-Avg Work Time,Inbound Non-ACD On IPCC-Total,Inbound Non-ACD On IPCC-Avg Talk Time,Inbound Non-ACD On IPCC-Max Talk Time,Inbound Non-ACD On Non-IPCC-Total,Inbound Non-ACD On Non-IPCC-Avg Talk Time,Inbound Non-ACD On Non-IPCC-Max Talk Time,Outbound On IPCC-Total,Outbound On IPCC-Avg Call Time,Outbound On IPCC-Max Call Time,Outbound On Non-IPCC-Total,Outbound On Non-IPCC-Avg Call Time,Outbound On Non-IPCC-Max Call Time,ACD-Transfer In,Non-ACD-Transfer In,ACD-Transfer Out,Non-ACD-Transfer Out,ACD-Conference,Non-ACD-Conference
Tshepo Sebeko,A1018,2018,May 2026,414,405,9,176:53:09,08:02:25,14:27:41,8.18,133:16:54,75.35,00:51:24,0.48,22:12:20,12.55,06:04:49,3.44,00:04:24,00:09:49,00:03:17,00:04:58,00:00:12,00:00:25,00:00:54,00:02:18,00:15:33,00:34:37,0.9783,414,414,00:03:17,00:00:12,00:00:54,0,00:00:00,00:00:00,0,00:00:00,00:00:00,22,00:01:51,00:03:05,0,00:00:00,00:00:00,6,1,2,0,1,1
Neo Molefe,A1019,2019,May 2026,452,441,11,178:03:21,07:44:30,22:46:42,12.79,127:58:31,71.87,01:08:24,0.64,18:15:06,10.25,07:54:38,4.44,00:03:48,00:09:04,00:02:29,00:05:23,00:00:14,00:00:34,00:01:05,00:02:28,00:25:43,01:18:43,0.9757,455,452,00:02:29,00:00:14,00:01:05,3,00:02:02,00:02:49,0,00:00:00,00:00:00,7,00:02:44,00:04:31,0,00:00:00,00:00:00,1,1,3,0,3,1
Kabelo Mokoena,A1020,2020,May 2026,394,378,16,178:46:54,08:30:48,23:49:11,13.32,138:31:04,77.48,01:05:15,0.61,10:43:00,5.99,04:38:24,2.6,00:02:40,00:06:30,00:01:42,00:03:11,00:00:14,00:00:43,00:00:44,00:01:40,00:23:58,00:58:24,0.9594,397,394,00:01:42,00:00:14,00:00:44,3,00:02:40,00:04:44,0,00:00:00,00:00:00,9,00:05:24,00:11:20,0,00:00:00,00:00:00,0,0,4,0,2,0
Refilwe Sebeko,A1021,2021,May 2026,281,271,10,184:14:02,08:22:27,22:05:53,11.99,144:39:49,78.52,00:37:27,0.34,13:01:35,7.07,03:49:17,2.07,00:03:53,00:06:34,00:02:53,00:05:51,00:00:09,00:00:24,00:00:51,00:02:01,00:24:43,01:22:50,0.9644,283,281,00:02:53,00:00:09,00:00:51,2,00:01:35,00:02:32,0,00:00:00,00:00:00,21,00:01:13,00:02:05,0,00:00:00,00:00:00,2,1,3,1,2,1
Vuyo Gqola,A1022,2022,May 2026,425,408,17,176:49:08,07:41:16,16:57:46,9.59,140:26:59,79.43,01:05:26,0.62,14:09:48,8.01,04:09:09,2.35,00:02:48,00:07:13,00:02:05,00:03:16,00:00:07,00:00:27,00:00:37,00:01:13,00:18:58,00:47:15,0.96,429,425,00:02:05,00:00:07,00:00:37,4,00:00:51,00:01:17,0,00:00:00,00:00:00,4,00:01:10,00:02:41,0,00:00:00,00:00:00,3,0,6,1,1,0
Nomsa Ngcobo,A1023,2023,May 2026,315,302,13,176:44:24,08:24:58,15:06:20,8.55,141:12:12,79.89,00:36:46,0.35,15:31:46,8.79,04:17:20,2.43,00:04:16,00:08:37,00:03:05,00:04:53,00:00:20,00:01:16,00:00:51,00:01:22,00:15:02,00:30:36,0.9587,317,315,00:03:05,00:00:20,00:00:51,2,00:01:50,00:02:42,0,00:00:00,00:00:00,13,00:02:09,00:03:06,0,00:00:00,00:00:00,0,1,4,0,3,0
Buhle Gqola,A1024,2024,May 2026,380,364,16,186:34:44,08:06:44,13:18:31,7.13,153:37:36,82.34,00:39:07,0.35,13:46:50,7.39,05:12:40,2.79,00:03:24,00:06:46,00:02:16,00:04:29,00:00:17,00:01:04,00:00:52,00:02:13,00:15:22,00:38:25,0.9579,380,380,00:02:16,00:00:17,00:00:52,0,00:00:00,00:00:00,0,00:00:00,00:00:00,6,00:05:27,00:08:54,0,00:00:00,00:00:00,1,0,3,0,0,0
Zoleka Mbeki,A1025,2025,May 2026,276,263,13,186:42:51,08:07:05,16:35:18,8.88,159:30:41,85.43,00:32:21,0.29,07:31:06,4.03,02:33:26,1.37,00:02:27,00:04:31,00:01:43,00:03:35,00:00:09,00:00:21,00:00:35,00:00:58,00:17:05,00:51:29,0.9529,277,276,00:01:43,00:00:09,00:00:35,1,00:02:09,00:02:55,0,00:00:00,00:00:00,24,00:04:50,00:09:24,0,00:00:00,00:00:00,5,1,0,0,0,0
Vuyo Mbeki,A1026,2026,May 2026,323,310,13,184:49:00,08:48:03,23:44:19,12.84,148:47:18,80.51,00:43:56,0.4,08:37:03,4.66,02:56:23,1.59,00:02:28,00:06:19,00:01:40,00:03:37,00:00:14,00:00:45,00:00:34,00:01:05,00:23:00,01:09:52,0.9598,326,323,00:01:40,00:00:14,00:00:34,3,00:02:03,00:02:52,0,00:00:00,00:00:00,7,00:03:26,00:07:15,0,00:00:00,00:00:00,5,1,3,1,3,1
Buhle Mbeki,A1027,2027,May 2026,274,264,10,179:46:03,07:48:58,23:19:35,12.98,143:11:13,79.65,00:44:59,0.42,10:10:43,5.66,02:19:33,1.29,00:03:02,00:05:52,00:02:19,00:04:35,00:00:12,00:00:46,00:00:32,00:01:17,00:25:37,00:59:34,0.9635,277,274,00:02:19,00:00:12,00:00:32,3,00:02:37,00:03:52,0,00:00:00,00:00:00,16,00:05:44,00:11:50,0,00:00:00,00:00:00,1,1,2,0,2,1
Buhle Gqola,A1028,2028,May 2026,347,338,9,183:39:58,08:44:46,16:47:39,9.14,150:22:45,81.88,00:40:48,0.37,10:36:23,5.77,05:12:23,2.83,00:03:07,00:07:32,00:01:53,00:04:08,00:00:19,00:01:00,00:00:55,00:01:44,00:16:50,00:53:23,0.9741,352,347,00:01:53,00:00:19,00:00:55,5,00:02:14,00:03:42,0,00:00:00,00:00:00,21,00:01:27,00:02:54,0,00:00:00,00:00:00,6,1,1,0,2,0
Susara Kruger,A1029,2029,May 2026,261,252,9,180:09:48,08:11:21,24:43:07,13.72,145:39:04,80.84,00:34:10,0.32,07:39:45,4.25,01:33:41,0.87,00:02:28,00:05:17,00:01:49,00:03:31,00:00:16,00:00:44,00:00:22,00:00:37,00:29:27,01:19:06,0.9655,263,261,00:01:49,00:00:16,00:00:22,2,00:02:27,00:04:04,0,00:00:00,00:00:00,19,00:04:28,00:07:14,0,00:00:00,00:00:00,1,0,0,0,2,1
Coenraad Pretorius,A1030,2030,May 2026,373,362,11,176:15:52,08:00:43,26:46:52,15.19,126:27:48,71.75,01:03:44,0.6,18:00:41,10.22,03:56:48,2.24,00:03:52,00:07:39,00:02:59,00:04:44,00:00:14,00:00:46,00:00:39,00:01:34,00:35:29,01:39:54,0.9705,375,373,00:02:59,00:00:14,00:00:39,2,00:01:17,00:02:13,0,00:00:00,00:00:00,7,00:01:04,00:02:40,0,00:00:00,00:00:00,6,1,4,0,2,1
Susara Kruger,A1031,2031,May 2026,341,324,17,183:44:37,08:44:59,16:15:02,8.84,152:43:14,83.12,00:25:29,0.23,09:10:00,4.99,05:10:53,2.82,00:02:57,00:05:42,00:01:42,00:03:54,00:00:17,00:00:47,00:00:58,00:01:34,00:22:49,00:55:25,0.9501,346,341,00:01:42,00:00:17,00:00:58,5,00:01:38,00:03:12,0,00:00:00,00:00:00,6,00:07:01,00:14:46,0,00:00:00,00:00:00,0,0,2,1,1,0
Susara Pretorius,A1032,2032,May 2026,287,275,12,176:58:52,07:41:41,27:27:39,15.52,128:35:03,72.65,00:19:14,0.18,16:23:31,9.26,04:13:24,2.39,00:04:36,00:08:24,00:03:35,00:05:29,00:00:07,00:00:17,00:00:55,00:01:48,00:27:02,01:30:13,0.9582,287,287,00:03:35,00:00:07,00:00:55,0,00:00:00,00:00:00,0,00:00:00,00:00:00,12,00:06:28,00:14:06,0,00:00:00,00:00:00,5,1,0,0,1,1
Hendrik Venter,A1033,2033,May 2026,353,336,17,175:04:03,08:20:12,24:11:13,13.82,127:27:14,72.8,00:55:06,0.52,18:16:46,10.44,04:13:44,2.42,00:04:09,00:08:36,00:03:16,00:05:52,00:00:08,00:00:22,00:00:45,00:01:29,00:29:02,01:14:04,0.9518,354,353,00:03:16,00:00:08,00:00:45,1,00:02:30,00:04:49,0,00:00:00,00:00:00,18,00:05:58,00:09:39,0,00:00:00,00:00:00,0,0,6,0,0,1
Johan Venter,A1034,2034,May 2026,414,404,10,184:43:19,08:01:53,25:30:56,13.81,128:23:18,69.5,00:51:17,0.46,23:03:27,12.48,06:54:21,3.74,00:04:38,00:07:46,00:03:25,00:07:48,00:00:11,00:00:29,00:01:02,00:01:53,00:34:28,01:23:28,0.9758,416,414,00:03:25,00:00:11,00:01:02,2,00:01:10,00:01:34,0,00:00:00,00:00:00,26,00:04:04,00:09:41,0,00:00:00,00:00:00,3,0,2,1,3,0
Anneke Kruger,A1035,2035,May 2026,384,373,11,184:05:02,08:22:03,19:59:00,10.86,146:43:59,79.71,01:02:51,0.57,12:09:48,6.61,04:09:25,2.26,00:02:43,00:05:36,00:01:57,00:03:41,00:00:06,00:00:13,00:00:40,00:01:25,00:21:42,01:08:07,0.9714,385,384,00:01:57,00:00:06,00:00:40,1,00:01:49,00:03:26,0,00:00:00,00:00:00,7,00:02:41,00:04:21,0,00:00:00,00:00:00,2,1,2,0,1,0
Laura Taylor,A1001,2001,June 2026,189,183,6,183:33:59,07:38:55,15:12:54,8.29,158:08:53,86.15,00:25:12,0.23,07:32:39,4.11,02:14:20,1.22,00:03:22,00:05:27,00:02:28,00:05:18,00:00:10,00:00:27,00:00:44,00:01:17,00:20:44,01:06:38,0.9683,193,189,00:02:28,00:00:10,00:00:44,4,00:01:18,00:02:01,0,00:00:00,00:00:00,5,00:07:22,00:12:05,0,00:00:00,00:00:00,4,0,1,0,1,0
Ryan Smith,A1002,2002,June 2026,208,203,5,195:17:55,08:52:38,17:21:09,8.89,167:58:19,86.01,00:23:31,0.2,06:05:22,3.12,03:29:34,1.79,00:02:59,00:05:11,00:01:48,00:03:40,00:00:09,00:00:30,00:01:02,00:01:51,00:20:30,00:37:15,0.976,213,208,00:01:48,00:00:09,00:01:02,5,00:02:09,00:03:25,0,00:00:00,00:00:00,5,00:04:33,00:08:06,0,00:00:00,00:00:00,2,1,0,0,3,1
Emma Turner,A1003,2003,June 2026,152,146,6,187:13:20,07:48:03,13:26:18,7.18,164:35:02,87.91,00:15:32,0.14,06:24:46,3.43,02:31:43,1.35,00:03:56,00:07:45,00:02:38,00:05:12,00:00:15,00:00:31,00:01:02,00:02:12,00:14:59,00:40:07,0.9605,152,152,00:02:38,00:00:15,00:01:02,0,00:00:00,00:00:00,0,00:00:00,00:00:00,15,00:05:57,00:13:41,0,00:00:00,00:00:00,6,1,6,1,0,1
Emma Wilson,A1004,2004,June 2026,236,225,11,191:48:03,08:43:06,21:41:57,11.31,156:03:29,81.36,00:22:05,0.19,12:09:11,6.34,01:31:21,0.79,00:03:44,00:06:53,00:03:14,00:05:05,00:00:05,00:00:16,00:00:24,00:00:43,00:25:36,01:10:15,0.9534,236,236,00:03:14,00:00:05,00:00:24,0,00:00:00,00:00:00,0,00:00:00,00:00:00,4,00:01:31,00:03:18,0,00:00:00,00:00:00,1,1,0,1,1,1
Megan Smith,A1005,2005,June 2026,150,143,7,188:28:57,07:51:12,20:58:39,11.13,157:48:20,83.72,00:20:54,0.18,07:39:40,4.06,01:41:23,0.9,00:04:02,00:09:32,00:03:13,00:05:06,00:00:07,00:00:15,00:00:43,00:01:46,00:22:31,00:49:13,0.9533,151,150,00:03:13,00:00:07,00:00:43,1,00:01:02,00:01:45,0,00:00:00,00:00:00,16,00:02:01,00:04:39,0,00:00:00,00:00:00,5,1,5,1,0,1
Brian Taylor,A1006,2006,June 2026,272,266,6,190:39:51,07:56:40,24:38:22,12.92,145:44:55,76.44,00:28:46,0.25,14:52:46,7.8,04:55:02,2.58,00:04:36,00:11:05,00:03:21,00:07:29,00:00:09,00:00:31,00:01:07,00:02:43,00:32:43,01:27:41,0.9779,277,272,00:03:21,00:00:09,00:01:07,5,00:02:32,00:03:45,0,00:00:00,00:00:00,17,00:05:35,00:07:53,0,00:00:00,00:00:00,0,0,0,1,3,0
James Smith,A1007,2007,June 2026,219,214,5,194:42:07,08:06:45,28:17:34,14.53,155:49:03,80.03,00:24:12,0.21,06:50:57,3.52,03:20:21,1.71,00:03:01,00:04:58,00:01:55,00:04:23,00:00:10,00:00:38,00:00:56,00:01:32,00:26:56,01:16:54,0.9772,224,219,00:01:55,00:00:10,00:00:56,5,00:01:57,00:03:23,0,00:00:00,00:00:00,5,00:05:17,00:08:51,0,00:00:00,00:00:00,4,0,3,0,0,1
Bheki Ndlovu,A1008,2008,June 2026,203,197,6,188:16:58,08:11:10,28:01:51,14.89,152:02:24,80.75,00:16:17,0.14,05:59:56,3.19,01:56:31,1.03,00:02:33,00:04:18,00:01:50,00:03:36,00:00:08,00:00:31,00:00:35,00:01:12,00:30:26,01:40:35,0.9704,206,203,00:01:50,00:00:08,00:00:35,3,00:01:51,00:02:46,0,00:00:00,00:00:00,6,00:06:08,00:10:32,0,00:00:00,00:00:00,3,0,5,1,1,1
Thandiwe Zulu,A1009,2009,June 2026,225,217,8,185:38:45,08:26:18,16:49:50,9.07,154:13:26,83.07,00:24:06,0.22,11:14:54,6.06,02:56:30,1.58,00:04:13,00:07:33,00:03:07,00:06:01,00:00:18,00:01:09,00:00:49,00:01:37,00:15:42,00:32:35,0.9644,226,225,00:03:07,00:00:18,00:00:49,1,00:01:22,00:02:06,0,00:00:00,00:00:00,12,00:02:52,00:07:09,0,00:00:00,00:00:00,2,0,6,0,1,0
Thandiwe Mahlangu,A1010,2010,June 2026,168,163,5,185:00:25,08:24:34,18:40:34,10.09,159:36:22,86.27,00:26:40,0.24,05:17:16,2.86,00:59:32,0.54,00:02:32,00:05:22,00:01:57,00:04:28,00:00:13,00:00:45,00:00:22,00:00:56,00:21:05,01:01:53,0.9702,169,168,00:01:57,00:00:13,00:00:22,1,00:02:03,00:03:32,0,00:00:00,00:00:00,12,00:06:43,00:13:14,0,00:00:00,00:00:00,5,1,2,0,3,0
Bheki Khumalo,A1011,2011,June 2026,172,165,7,184:15:23,08:00:40,22:16:14,12.09,154:03:53,83.61,00:17:08,0.15,05:15:36,2.85,02:22:32,1.29,00:02:58,00:07:16,00:01:55,00:03:18,00:00:11,00:00:37,00:00:52,00:01:29,00:21:18,01:03:25,0.9593,174,172,00:01:55,00:00:11,00:00:52,2,00:02:08,00:03:13,0,00:00:00,00:00:00,16,00:04:36,00:09:28,0,00:00:00,00:00:00,5,1,0,1,3,1
Ntombi Khumalo,A1012,2012,June 2026,257,248,9,194:05:49,08:26:20,16:39:37,8.58,157:55:09,81.36,00:29:45,0.26,15:26:27,7.96,03:34:51,1.84,00:04:49,00:09:16,00:03:44,00:08:07,00:00:13,00:00:47,00:00:52,00:02:13,00:20:37,00:52:03,0.965,257,257,00:03:44,00:00:13,00:00:52,0,00:00:00,00:00:00,0,00:00:00,00:00:00,4,00:01:10,00:02:22,0,00:00:00,00:00:00,3,1,4,1,3,1
Nomvula Mahlangu,A1013,2013,June 2026,273,265,8,188:57:22,07:52:23,23:59:43,12.7,147:57:59,78.31,00:29:51,0.26,13:27:22,7.12,03:02:27,1.61,00:03:55,00:07:10,00:03:03,00:05:34,00:00:11,00:00:33,00:00:41,00:01:33,00:22:21,00:46:05,0.9707,274,273,00:03:03,00:00:11,00:00:41,1,00:02:36,00:04:16,0,00:00:00,00:00:00,18,00:06:20,00:15:08,0,00:00:00,00:00:00,4,1,5,0,1,1
Sipho Mahlangu,A1014,2014,June 2026,199,189,10,190:31:47,07:56:19,27:35:34,14.48,154:11:40,80.93,00:15:01,0.13,06:33:50,3.45,01:55:41,1.01,00:03:00,00:05:49,00:02:05,00:04:41,00:00:18,00:00:54,00:00:37,00:01:34,00:28:36,01:16:58,0.9497,203,199,00:02:05,00:00:18,00:00:37,4,00:01:09,00:02:13,0,00:00:00,00:00:00,17,00:02:08,00:04:29,0,00:00:00,00:00:00,4,0,2,0,3,0
Refilwe Tau,A1015,2015,June 2026,177,172,5,183:31:41,07:38:49,26:43:44,14.56,145:21:31,79.2,00:23:47,0.22,08:09:56,4.45,02:52:43,1.57,00:04:00,00:06:28,00:02:51,00:04:20,00:00:09,00:00:22,00:01:00,00:02:23,00:28:24,01:33:10,0.9718,181,177,00:02:51,00:00:09,00:01:00,4,00:01:44,00:02:26,0,00:00:00,00:00:00,10,00:03:47,00:05:48,0,00:00:00,00:00:00,1,0,0,0,0,0
Thabo Molefe,A1016,2016,June 2026,198,191,7,188:51:32,07:52:09,23:33:36,12.47,153:49:25,81.45,00:26:09,0.23,07:29:46,3.97,03:32:35,1.88,00:03:41,00:08:43,00:02:21,00:04:08,00:00:13,00:00:43,00:01:07,00:02:10,00:29:37,01:06:44,0.9646,198,198,00:02:21,00:00:13,00:01:07,0,00:00:00,00:00:00,0,00:00:00,00:00:00,22,00:01:17,00:02:04,0,00:00:00,00:00:00,4,1,0,0,1,1
Thabo Mofokeng,A1017,2017,June 2026,172,164,8,184:30:08,07:41:15,13:33:32,7.35,161:49:21,87.71,00:16:54,0.15,07:02:18,3.81,01:48:03,0.98,00:03:33,00:08:42,00:02:35,00:04:31,00:00:19,00:01:10,00:00:40,00:01:36,00:16:03,00:45:20,0.9535,175,172,00:02:35,00:00:19,00:00:40,3,00:02:38,00:03:32,0,00:00:00,00:00:00,25,00:03:38,00:07:57,0,00:00:00,00:00:00,1,1,2,1,3,0
Tshepo Sebeko,A1018,2018,June 2026,268,261,7,185:18:32,08:03:25,28:51:50,15.58,139:31:52,75.3,00:33:07,0.3,12:53:12,6.95,03:28:31,1.88,00:03:56,00:07:51,00:02:58,00:05:18,00:00:10,00:00:27,00:00:48,00:01:58,00:33:42,01:37:58,0.9739,268,268,00:02:58,00:00:10,00:00:48,0,00:00:00,00:00:00,0,00:00:00,00:00:00,17,00:06:45,00:12:04,0,00:00:00,00:00:00,1,1,1,1,2,1
Neo Molefe,A1019,2019,June 2026,265,259,6,186:32:05,08:28:44,24:28:49,13.12,146:56:10,78.77,00:40:11,0.36,10:21:11,5.55,04:05:45,2.2,00:03:34,00:06:24,00:02:24,00:04:39,00:00:13,00:00:46,00:00:57,00:02:03,00:27:04,01:25:17,0.9774,266,265,00:02:24,00:00:13,00:00:57,1,00:01:03,00:01:38,0,00:00:00,00:00:00,16,00:03:32,00:08:40,0,00:00:00,00:00:00,1,1,3,0,1,1
Kabelo Mokoena,A1020,2020,June 2026,247,235,12,187:17:43,07:48:14,29:10:04,15.57,147:09:34,78.57,00:40:34,0.36,07:29:50,4.0,02:47:41,1.49,00:02:54,00:05:21,00:01:55,00:03:48,00:00:16,00:00:40,00:00:43,00:01:46,00:37:28,01:40:08,0.9514,251,247,00:01:55,00:00:16,00:00:43,4,00:02:23,00:04:20,0,00:00:00,00:00:00,16,00:01:02,00:02:17,0,00:00:00,00:00:00,1,1,0,1,0,0
Refilwe Sebeko,A1021,2021,June 2026,194,189,5,193:00:25,08:02:31,27:54:43,14.46,154:12:40,79.9,00:26:07,0.23,08:06:56,4.2,02:19:59,1.21,00:03:32,00:08:19,00:02:35,00:04:16,00:00:13,00:00:44,00:00:44,00:01:15,00:33:16,01:46:04,0.9742,197,194,00:02:35,00:00:13,00:00:44,3,00:01:17,00:02:03,0,00:00:00,00:00:00,18,00:06:23,00:15:09,0,00:00:00,00:00:00,6,0,2,0,0,1
Vuyo Gqola,A1022,2022,June 2026,263,253,10,185:14:20,08:25:12,24:22:15,13.16,149:14:34,80.57,00:40:35,0.37,08:11:28,4.42,02:45:28,1.49,00:02:43,00:07:04,00:01:57,00:03:32,00:00:07,00:00:27,00:00:39,00:01:07,00:29:00,01:05:34,0.962,267,263,00:01:57,00:00:07,00:00:39,4,00:02:09,00:03:53,0,00:00:00,00:00:00,5,00:03:44,00:07:44,0,00:00:00,00:00:00,3,0,6,1,1,1
Nomsa Ngcobo,A1023,2023,June 2026,229,221,8,185:09:22,08:03:01,16:35:23,8.96,152:59:06,82.62,00:26:55,0.24,11:40:42,6.31,03:27:16,1.87,00:04:28,00:10:20,00:03:10,00:05:24,00:00:21,00:01:00,00:00:56,00:02:09,00:19:16,00:34:42,0.9651,234,229,00:03:10,00:00:21,00:00:56,5,00:01:18,00:01:44,0,00:00:00,00:00:00,22,00:05:11,00:07:32,0,00:00:00,00:00:00,1,0,0,1,1,1
Buhle Gqola,A1024,2024,June 2026,246,240,6,195:27:49,08:29:54,26:30:27,13.56,155:21:40,79.48,00:25:47,0.22,09:29:20,4.85,03:40:34,1.88,00:03:32,00:07:31,00:02:22,00:04:13,00:00:15,00:00:57,00:00:55,00:01:53,00:30:53,01:22:01,0.9756,251,246,00:02:22,00:00:15,00:00:55,5,00:02:20,00:04:04,0,00:00:00,00:00:00,18,00:04:29,00:09:36,0,00:00:00,00:00:00,1,1,5,0,3,0
Zoleka Mbeki,A1025,2025,June 2026,150,144,6,195:36:19,08:09:01,28:49:43,14.74,160:32:20,82.07,00:17:43,0.15,04:31:18,2.31,01:25:16,0.73,00:02:38,00:04:50,00:01:53,00:03:13,00:00:10,00:00:38,00:00:36,00:01:03,00:33:30,01:05:34,0.96,155,150,00:01:53,00:00:10,00:00:36,5,00:01:21,00:01:53,0,00:00:00,00:00:00,26,00:04:19,00:08:20,0,00:00:00,00:00:00,5,0,0,1,1,1
Vuyo Mbeki,A1026,2026,June 2026,244,238,6,193:37:03,08:48:03,23:13:06,11.99,161:06:26,83.21,00:33:43,0.29,06:30:20,3.36,02:13:27,1.15,00:02:29,00:05:21,00:01:38,00:03:27,00:00:17,00:00:40,00:00:34,00:01:16,00:24:22,01:02:58,0.9754,247,244,00:01:38,00:00:17,00:00:34,3,00:02:21,00:03:14,0,00:00:00,00:00:00,13,00:00:55,00:01:47,0,00:00:00,00:00:00,0,0,2,1,1,0
Buhle Mbeki,A1027,2027,June 2026,177,171,6,188:19:40,08:33:37,18:49:21,9.99,161:15:19,85.62,00:29:08,0.26,06:23:50,3.4,01:22:03,0.73,00:02:56,00:06:21,00:02:15,00:03:27,00:00:13,00:00:38,00:00:29,00:01:14,00:20:39,01:03:25,0.9661,179,177,00:02:15,00:00:13,00:00:29,2,00:02:38,00:04:27,0,00:00:00,00:00:00,7,00:05:27,00:13:23,0,00:00:00,00:00:00,3,0,6,1,0,1
Buhle Gqola,A1028,2028,June 2026,258,248,10,192:24:44,08:44:46,16:58:54,8.83,163:45:56,85.11,00:29:56,0.26,07:26:26,3.87,03:43:33,1.94,00:03:02,00:05:06,00:01:48,00:03:47,00:00:20,00:00:42,00:00:54,00:01:48,00:21:35,00:52:22,0.9612,263,258,00:01:48,00:00:20,00:00:54,5,00:01:45,00:03:23,0,00:00:00,00:00:00,25,00:02:02,00:04:37,0,00:00:00,00:00:00,6,1,5,1,3,0
Susara Kruger,A1029,2029,June 2026,170,165,5,188:44:34,08:12:22,26:39:27,14.12,155:37:13,82.45,00:22:22,0.2,05:02:13,2.67,01:03:19,0.56,00:02:28,00:04:33,00:01:50,00:02:48,00:00:15,00:00:48,00:00:23,00:00:51,00:25:47,01:17:20,0.9706,170,170,00:01:50,00:00:15,00:00:23,0,00:00:00,00:00:00,0,00:00:00,00:00:00,10,00:04:23,00:08:32,0,00:00:00,00:00:00,1,1,4,0,1,0
Coenraad Pretorius,A1030,2030,June 2026,224,217,7,184:39:29,08:23:37,20:05:06,10.88,150:33:43,81.54,00:38:12,0.34,11:06:41,6.02,02:15:47,1.23,00:03:52,00:07:02,00:03:04,00:05:31,00:00:10,00:00:21,00:00:38,00:01:23,00:19:20,00:51:36,0.9688,225,224,00:03:04,00:00:10,00:00:38,1,00:01:18,00:02:17,0,00:00:00,00:00:00,20,00:05:56,00:14:06,0,00:00:00,00:00:00,0,1,0,0,1,1
Susara Kruger,A1031,2031,June 2026,217,210,7,192:29:36,08:22:09,14:14:11,7.4,169:20:24,87.97,00:16:31,0.14,05:45:20,2.99,02:53:10,1.5,00:02:42,00:05:44,00:01:39,00:03:02,00:00:14,00:00:44,00:00:49,00:01:50,00:18:01,00:44:44,0.9677,221,217,00:01:39,00:00:14,00:00:49,4,00:01:56,00:03:37,0,00:00:00,00:00:00,5,00:06:01,00:10:37,0,00:00:00,00:00:00,5,1,4,1,2,1
Susara Pretorius,A1032,2032,June 2026,178,174,4,185:24:31,08:25:40,26:49:38,14.47,144:15:57,77.81,00:12:10,0.11,11:10:08,6.02,02:56:39,1.59,00:04:59,00:11:21,00:03:51,00:07:09,00:00:07,00:00:15,00:01:01,00:02:18,00:30:51,01:25:58,0.9775,181,178,00:03:51,00:00:07,00:01:01,3,00:01:26,00:02:07,0,00:00:00,00:00:00,18,00:03:40,00:05:36,0,00:00:00,00:00:00,1,0,4,0,1,1
Hendrik Venter,A1033,2033,June 2026,227,221,6,183:24:14,07:38:31,20:23:34,11.12,147:48:50,80.59,00:36:14,0.33,12:00:38,6.55,02:34:57,1.41,00:04:07,00:08:57,00:03:16,00:05:11,00:00:09,00:00:28,00:00:42,00:01:32,00:26:44,01:06:40,0.9736,227,227,00:03:16,00:00:09,00:00:42,0,00:00:00,00:00:00,0,00:00:00,00:00:00,18,00:01:48,00:03:30,0,00:00:00,00:00:00,4,0,5,0,3,1
Johan Venter,A1034,2034,June 2026,254,242,12,193:31:06,08:03:48,18:59:38,9.82,157:16:13,81.27,00:30:43,0.26,13:14:32,6.84,03:30:00,1.81,00:04:22,00:07:15,00:03:17,00:05:33,00:00:13,00:00:36,00:00:52,00:01:24,00:19:58,00:43:11,0.9528,256,254,00:03:17,00:00:13,00:00:52,2,00:00:59,00:01:22,0,00:00:00,00:00:00,6,00:05:17,00:12:28,0,00:00:00,00:00:00,4,0,5,1,1,1
Anneke Kruger,A1035,2035,June 2026,283,274,9,192:51:00,08:23:05,14:51:30,7.7,164:54:22,85.51,00:46:10,0.4,08:49:55,4.58,03:29:02,1.81,00:02:48,00:05:56,00:01:56,00:03:43,00:00:07,00:00:18,00:00:46,00:01:36,00:14:23,00:34:33,0.9682,285,283,00:01:56,00:00:07,00:00:46,2,00:01:48,00:03:21,0,00:00:00,00:00:00,7,00:01:05,00:02:35,0,00:00:00,00:00:00,1,1,2,0,3,0
